"","studentDist","studentTime","leader","ClustAlg","Catchment"
"6745",1235,28.92,FALSE,"kNN",57
"6746",1017,23.43,FALSE,"kNN",57
"6747",824,19.32,FALSE,"kNN",57
"6748",598,13.65,FALSE,"kNN",57
"6749",583,13.27,FALSE,"kNN",57
"6750",287,6.12,FALSE,"kNN",57
"6751",1508,35.62,TRUE,"kMeans",57
"6752",1157,27.32,FALSE,"kMeans",57
"6753",976,23.17,FALSE,"kMeans",57
"6754",853,20.45,FALSE,"kMeans",57
"6755",610,15.22,FALSE,"kMeans",57
"6756",604,15.08,FALSE,"kMeans",57
"6757",1567,36.73,TRUE,"kMeans",57
"6758",1320,31.88,FALSE,"kMeans",57
"6759",1253,30.07,FALSE,"kMeans",57
"6760",1141,27.38,FALSE,"kMeans",57
"6761",958,23.13,FALSE,"kMeans",57
"6762",804,19.77,FALSE,"kMeans",57
"6763",658,16.45,FALSE,"kMeans",57
"6764",1365,31.22,TRUE,"kMeans",57
"6765",1274,29.12,FALSE,"kMeans",57
"6766",998,22.6,FALSE,"kMeans",57
"6767",792,18.27,FALSE,"kMeans",57
"6768",407,10.28,FALSE,"kMeans",57
"6769",2052,44.1,TRUE,"kMeans",57
"6770",1420,29.38,FALSE,"kMeans",57
"6771",1173,24.02,FALSE,"kMeans",57
"6772",1816,39.72,TRUE,"kMeans",57
"6773",1275,27.53,FALSE,"kMeans",57
"6774",1055,22.85,FALSE,"kMeans",57
"6775",415,10.58,FALSE,"kMeans",57
"6776",802,19.18,TRUE,"kMeans",57
"6777",431,10.45,FALSE,"kMeans",57
"6778",252,6.33,FALSE,"kMeans",57
"6779",73,1.77,FALSE,"kMeans",57
"6780",55,1.38,FALSE,"kMeans",57
"6781",1323,31.97,TRUE,"Hier",57
"6782",1320,31.88,FALSE,"Hier",57
"6783",1253,30.07,FALSE,"Hier",57
"6784",1141,27.38,FALSE,"Hier",57
"6785",958,23.13,FALSE,"Hier",57
"6786",804,19.77,FALSE,"Hier",57
"6787",658,16.45,FALSE,"Hier",57
"6788",1533,35.43,TRUE,"Hier",57
"6789",1205,27.48,FALSE,"Hier",57
"6790",929,20.97,FALSE,"Hier",57
"6791",723,16.63,FALSE,"Hier",57
"6792",2366,51.72,TRUE,"Hier",57
"6793",1420,29.38,FALSE,"Hier",57
"6794",1173,24.02,FALSE,"Hier",57
"6795",890,20.05,TRUE,"Hier",57
"6796",507,10.8,FALSE,"Hier",57
"6797",287,6.12,FALSE,"Hier",57
"6798",1645,36.1,TRUE,"Hier",57
"6799",942,21.85,FALSE,"Hier",57
"6800",693,16.67,FALSE,"Hier",57
"6801",475,11.18,FALSE,"Hier",57
"6802",282,7.07,FALSE,"Hier",57
"6803",56,1.4,FALSE,"Hier",57
"6804",41,1.02,FALSE,"Hier",57
"6805",1347,30.98,TRUE,"Hier",57
"6806",1157,27.32,FALSE,"Hier",57
"6807",976,23.17,FALSE,"Hier",57
"6808",853,20.45,FALSE,"Hier",57
"6809",610,15.22,FALSE,"Hier",57
"6810",604,15.08,FALSE,"Hier",57
"6811",1250,30.45,TRUE,"Fuzzy",57
"6812",1247,30.37,FALSE,"Fuzzy",57
"6813",1180,28.55,FALSE,"Fuzzy",57
"6814",1068,25.87,FALSE,"Fuzzy",57
"6815",885,21.62,FALSE,"Fuzzy",57
"6816",731,18.25,FALSE,"Fuzzy",57
"6817",1515,34.93,TRUE,"Fuzzy",57
"6818",1295,29.95,FALSE,"Fuzzy",57
"6819",983,23.32,FALSE,"Fuzzy",57
"6820",638,15.47,FALSE,"Fuzzy",57
"6821",407,10.28,FALSE,"Fuzzy",57
"6822",1744,38.83,TRUE,"Fuzzy",57
"6823",1247,26.75,FALSE,"Fuzzy",57
"6824",1027,22.07,FALSE,"Fuzzy",57
"6825",475,11.18,FALSE,"Fuzzy",57
"6826",282,7.07,FALSE,"Fuzzy",57
"6827",56,1.4,FALSE,"Fuzzy",57
"6828",41,1.02,FALSE,"Fuzzy",57
"6829",1136,25.6,TRUE,"Fuzzy",57
"6830",1084,24.6,FALSE,"Fuzzy",57
"6831",878,20.27,FALSE,"Fuzzy",57
"6832",592,14.37,FALSE,"Fuzzy",57
"6833",1922,41.15,TRUE,"Fuzzy",57
"6834",1420,29.38,FALSE,"Fuzzy",57
"6835",1173,24.02,FALSE,"Fuzzy",57
"6836",1292,29.75,TRUE,"Fuzzy",57
"6837",976,23.17,FALSE,"Fuzzy",57
"6838",853,20.45,FALSE,"Fuzzy",57
"6839",610,15.22,FALSE,"Fuzzy",57
"6840",604,15.08,FALSE,"Fuzzy",57
"6841",951,21.2,TRUE,"kNN",58
"6842",906,20.12,FALSE,"kNN",58
"6843",781,17.57,FALSE,"kNN",58
"6844",717,16.12,FALSE,"kNN",58
"6845",534,12.08,FALSE,"kNN",58
"6846",441,9.88,FALSE,"kNN",58
