,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6
1,-123.029011,49.22262426,Champlain Heights Community Elementary,FALSE,1,Customer 23,Customer 28,Customer 2,Customer 16,Customer 13,Customer 21
2,-123.0290221,49.22261742,Champlain Heights Community Elementary,TRUE,1,Customer 22,Customer 29,Customer 5,Customer 10,Customer 11,Customer 19
3,-123.0290276,49.22261502,Champlain Heights Community Elementary,FALSE,1,Customer 27,,Customer 4,Customer 18,Customer 9,Customer 20
4,-123.027311,49.22273213,Champlain Heights Community Elementary,FALSE,1,Customer 25,,Customer 6,Customer 17,Customer 15,Customer 26
5,-123.0279527,49.22314591,Champlain Heights Community Elementary,FALSE,1,,,,Customer 8,Customer 12,Customer 3
6,-123.0244149,49.22122929,Champlain Heights Community Elementary,FALSE,1,,,,Customer 30,Customer 14,Customer 1
7,-123.0253442,49.21859488,Champlain Heights Community Elementary,FALSE,6,,,,Customer 7,,Customer 24
8,-123.0260491,49.21333413,Champlain Heights Community Elementary,FALSE,2,,,,,,
9,-123.0240485,49.21244074,Champlain Heights Community Elementary,FALSE,2,,,,,,
10,-123.0304931,49.20831939,Champlain Heights Community Elementary,FALSE,3,,,,,,
11,-123.0238069,49.21292592,Champlain Heights Community Elementary,FALSE,2,,,,,,
12,-123.0257601,49.20837206,Champlain Heights Community Elementary,FALSE,2,,,,,,
13,-123.0243275,49.21414672,Champlain Heights Community Elementary,TRUE,2,,,,,,
14,-123.0280153,49.20798677,Champlain Heights Community Elementary,FALSE,3,,,,,,
15,-123.0320594,49.20535866,Champlain Heights Community Elementary,FALSE,3,,,,,,
16,-123.0347297,49.20681213,Champlain Heights Community Elementary,TRUE,3,,,,,,
17,-123.0279706,49.21048578,Champlain Heights Community Elementary,FALSE,2,,,,,,
18,-123.0306364,49.2099975,Champlain Heights Community Elementary,FALSE,3,,,,,,
19,-123.031769,49.21749613,Champlain Heights Community Elementary,FALSE,4,,,,,,
20,-123.0322436,49.218361,Champlain Heights Community Elementary,FALSE,4,,,,,,
21,-123.0319413,49.21766134,Champlain Heights Community Elementary,TRUE,4,,,,,,
22,-123.0313579,49.21695182,Champlain Heights Community Elementary,FALSE,5,,,,,,
23,-123.0315606,49.21719786,Champlain Heights Community Elementary,TRUE,5,,,,,,
24,-123.0285145,49.22242423,Champlain Heights Community Elementary,FALSE,1,,,,,,
25,-123.0281822,49.21981056,Champlain Heights Community Elementary,FALSE,1,,,,,,
26,-123.0293621,49.22045516,Champlain Heights Community Elementary,FALSE,1,,,,,,
27,-123.0281586,49.21681959,Champlain Heights Community Elementary,FALSE,6,,,,,,
28,-123.0263256,49.21605296,Champlain Heights Community Elementary,TRUE,6,,,,,,
29,-123.0267866,49.2154925,Champlain Heights Community Elementary,FALSE,6,,,,,,
30,-123.0243349,49.21536146,Champlain Heights Community Elementary,FALSE,2,,,,,,
