,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6
1,-123.1009291,49.25478918,David Livingstone Elementary,FALSE,5,Customer 9,Customer 12,Customer 20,Customer 6,Customer 7,Customer 8
2,-123.1010753,49.25512363,David Livingstone Elementary,FALSE,5,Customer 29,Customer 14,Customer 22,Customer 4,,
3,-123.0986554,49.25072369,David Livingstone Elementary,FALSE,5,Customer 26,Customer 1,Customer 21,Customer 5,,
4,-123.1000768,49.24882049,David Livingstone Elementary,FALSE,1,Customer 10,Customer 2,Customer 19,Customer 3,,
5,-123.0999492,49.24880515,David Livingstone Elementary,FALSE,1,Customer 28,Customer 18,Customer 30,,,
6,-123.0986504,49.24878326,David Livingstone Elementary,TRUE,1,Customer 27,Customer 15,Customer 23,,,
7,-123.0981804,49.24878379,David Livingstone Elementary,TRUE,2,Customer 11,Customer 17,Customer 25,,,
8,-123.0975391,49.2487681,David Livingstone Elementary,TRUE,3,Customer 13,Customer 16,Customer 24,,,
9,-123.0947246,49.24592625,David Livingstone Elementary,TRUE,4,,,,,,
10,-123.0904889,49.24987628,David Livingstone Elementary,FALSE,6,,,,,,
11,-123.091645,49.25061129,David Livingstone Elementary,FALSE,6,,,,,,
12,-123.0999341,49.25139249,David Livingstone Elementary,TRUE,5,,,,,,
13,-123.0979021,49.25215417,David Livingstone Elementary,FALSE,5,,,,,,
14,-123.1005759,49.25432643,David Livingstone Elementary,FALSE,5,,,,,,
15,-123.0993454,49.25466267,David Livingstone Elementary,FALSE,5,,,,,,
16,-123.0963569,49.25529661,David Livingstone Elementary,FALSE,6,,,,,,
17,-123.0943109,49.25550956,David Livingstone Elementary,FALSE,6,,,,,,
18,-123.0999814,49.25496914,David Livingstone Elementary,FALSE,5,,,,,,
19,-123.0902562,49.2553319,David Livingstone Elementary,FALSE,6,,,,,,
20,-123.0924735,49.25398174,David Livingstone Elementary,TRUE,6,,,,,,
21,-123.0923957,49.25475904,David Livingstone Elementary,FALSE,6,,,,,,
22,-123.0919005,49.25358388,David Livingstone Elementary,FALSE,6,,,,,,
23,-123.0899737,49.25317248,David Livingstone Elementary,FALSE,6,,,,,,
24,-123.0899801,49.25241721,David Livingstone Elementary,FALSE,6,,,,,,
25,-123.0899634,49.25269062,David Livingstone Elementary,FALSE,6,,,,,,
26,-123.0901146,49.24904259,David Livingstone Elementary,FALSE,6,,,,,,
27,-123.0900348,49.25146557,David Livingstone Elementary,FALSE,6,,,,,,
28,-123.0900547,49.25087574,David Livingstone Elementary,FALSE,6,,,,,,
29,-123.0901976,49.24565103,David Livingstone Elementary,FALSE,4,,,,,,
30,-123.0899491,49.25392783,David Livingstone Elementary,FALSE,6,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,49.25066,-123.0981,,,,,,,,,
